id,nombre científico,nombre común,rango,zonas USDA
"gleditsia_triacanthos","Gleditsia triacanthos","Acacia de tres espinas, Acacia negra","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"grevillea_robusta","Grevillea robusta","Roble sedoso, Grevillea","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"grevillea_sp","Grevillea sp.","Grevillea","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"handroanthus_albus","Handroanthus albus","Lapacho amarillo","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"handroanthus_chrysanthus","Handroanthus chrysanthus","Guayacán amarillo","-3.9°C a -1.1°C","9b, 10a, 10b"
"handroanthus_chrysotrichus","Handroanthus chrysotrichus","Lapacho amarillo de jardín","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"handroanthus_heptaphyllus","Handroanthus heptaphyllus","Lapacho negro, Lapacho rosado","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"handroanthus_impetiginosus","Handroanthus impetiginosus","Lapacho rosado, Lapacho morado","-3.9°C a -1.1°C","9b, 10a, 10b"
"handroanthus_ochraceus","Handroanthus ochraceus","Lapacho amarillo del cerrado","-3.9°C a -1.1°C","9b, 10a, 10b"
"handroanthus_pulcherrimus","Handroanthus pulcherrimus","Lapacho amarillo vistoso","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"helietta_apiculata","Helietta apiculata","Yvyrá ovi, Canelón","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"hibiscus_sp","Hibiscus sp.","Hibisco, Rosa de China","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"hibiscus_mutabilis","Hibiscus mutabilis","Rosa mutable","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"hibiscus_rosasinensis","Hibiscus rosa-sinensis","Rosa de China, Hibisco","-3.9°C a -1.1°C","9b, 10a, 10b"
"hibiscus_syriacus","Hibiscus syriacus","Rosa de Siria, Altea","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"hibiscus_tiliaceus","Hibiscus tiliaceus","Hibisco marino, Majagua","-1.1°C a 1.7°C","10a, 10b"
"hovenia_dulcis","Hovenia dulcis","Árbol de las pasas, Árbol del carao","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"howea_forsteriana","Howea forsteriana","Palmera kentia","-3.9°C a -1.1°C","9b, 10a, 10b"
"ilex","Ilex","Acebo","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"inga_uraguensis","Inga uraguensis","Ingá","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"jacaranda_mimosifolia","Jacaranda mimosifolia","Jacarandá, Tarco","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"jodina_rhombifolia","Jodina rhombifolia","Sombra de toro","-9.4°C a -6.7°C","8b, 9a, 9b, 10a, 10b"
"juglans_australis","Juglans australis","Nogal criollo, Nogal tucumano","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"juglans_nigra","Juglans nigra","Nogal negro americano","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"juglans_regia","Juglans regia","Nogal común, Nogal europeo","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"juglans_sp","Juglans sp.","Nogal","-34.4°C a -31.7°C","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
